iter	Passed	Remaining
0	18	18206
1	20	10453
2	22	7529
3	24	6183
4	26	5311
5	28	4718
6	30	4258
7	32	4007
8	33	3727
9	35	3483
10	36	3299
11	38	3188
12	40	3058
13	43	3036
14	44	2948
15	46	2863
16	47	2772
17	49	2694
18	51	2639
19	52	2575
20	54	2519
21	55	2460
22	56	2417
23	58	2371
24	59	2320
25	60	2275
26	61	2230
27	63	2204
28	64	2175
29	66	2156
30	67	2124
31	69	2102
32	71	2085
33	72	2068
34	74	2052
35	75	2034
36	77	2012
37	78	1989
38	80	1971
39	81	1958
40	83	1943
41	84	1933
42	86	1918
43	87	1909
44	89	1898
45	90	1882
46	92	1867
47	93	1852
48	94	1839
49	95	1823
50	97	1810
51	98	1795
52	99	1780
53	101	1773
54	102	1760
55	103	1751
56	105	1739
57	106	1728
58	107	1719
59	109	1708
60	110	1698
61	111	1687
62	112	1679
63	114	1671
64	115	1663
65	116	1655
66	118	1644
67	119	1637
68	120	1628
69	121	1618
70	122	1607
71	123	1597
72	125	1590
73	126	1583
74	127	1576
75	130	1584
76	131	1580
77	133	1573
78	134	1568
79	135	1559
80	136	1552
81	138	1545
82	138	1533
83	140	1526
84	141	1521
85	142	1516
86	144	1513
87	145	1511
88	147	1506
89	148	1502
90	149	1496
91	151	1491
92	152	1484
93	153	1478
94	154	1471
95	155	1468
96	157	1464
97	158	1463
98	160	1458
99	161	1453
100	162	1449
101	163	1443
102	165	1436
103	166	1431
104	167	1425
105	168	1421
106	169	1418
107	171	1413
108	172	1411
109	174	1408
110	175	1405
111	176	1401
112	177	1396
113	178	1390
114	180	1387
115	181	1382
116	182	1376
117	183	1372
118	184	1368
119	185	1363
120	187	1360
121	188	1354
122	189	1350
123	190	1346
124	191	1341
125	193	1338
126	193	1333
127	195	1329
128	196	1327
129	197	1323
130	199	1320
131	200	1316
132	201	1311
133	202	1308
134	203	1304
135	204	1300
136	205	1296
137	206	1292
138	208	1288
139	209	1284
140	210	1280
141	211	1275
142	212	1273
143	213	1272
144	215	1268
145	216	1265
146	217	1262
147	218	1258
148	219	1256
149	221	1253
150	222	1249
151	223	1247
152	224	1245
153	226	1242
154	227	1238
155	228	1235
156	229	1233
157	230	1230
158	232	1228
159	233	1226
160	234	1222
161	235	1219
162	236	1216
163	238	1213
164	239	1211
165	240	1208
166	241	1205
167	242	1203
168	244	1200
169	245	1197
170	246	1194
171	247	1192
172	248	1189
173	249	1186
174	251	1184
175	252	1182
176	253	1179
177	254	1177
178	256	1175
179	257	1172
180	258	1170
181	259	1167
182	260	1164
183	261	1161
184	263	1159
